user_id,movie_id
9145,1834
9145,1981
9145,2399
9145,2944
9145,1534
9145,1684
9145,1727
9145,1762
9145,878
9145,925
9145,43
9145,852
9145,1060
9145,1066
9145,950
9145,1036
9145,1130
9145,1159
9145,1102
9145,1106
9146,239
9146,226
9146,252
9146,244
9146,214
9146,203
9146,217
9146,215
9146,166
9146,163
9146,183
9146,182
9146,146
9146,140
9146,157
9146,149
9146,65
9146,66
9146,75
9146,117
9146,19
9146,27
9146,52
9146,61
9146,466
9146,463
9146,513
9146,512
9146,502
9146,500
9146,491
9146,480
9146,474
9146,473
9146,543
9146,542
9146,541
9146,540
9146,539
9146,538
9146,537
9146,514
9146,586
9146,626
9146,544
9146,562
9146,257
9146,256
9146,264
9146,263
9146,285
9146,281
9146,299
9146,287
9146,304
9146,302
9146,333
9146,323
9146,340
9146,334
9146,347
9146,341
9146,350
9146,353
9146,354
9146,355
9146,360
9146,365
9146,376
9146,380
9146,422
9146,425
9146,435
9146,441
9146,446
9146,451
9147,6402
9147,973
9147,718
9147,1009
9147,985
9147,546
9147,544
9147,661
9147,636
9147,1609
9147,1474
9147,2029
9147,1853
9147,1137
9147,1044
9147,1378
9147,1272
9147,2292
9147,2307
9147,2393
9147,2618
9147,2175
9147,2181
9147,2192
9147,2231
9147,4629
9147,5045
9147,5146
9147,5499
9147,2823
9147,3176
9147,4104
9147,4278
9147,238
9147,258
9147,73
9147,117
9147,540
9147,543
9147,360
9147,491
9147,339
9147,340
9147,285
9147,303
9147,6935
9147,6620
9147,7753
9147,5923
9147,5504
9147,6576
9148,1131
9148,1130
9148,1119
9148,1107
9148,1098
9148,1096
9148,1079
9148,1070
9148,1064
9148,1061
9148,1058
9148,1055
9148,1051
9148,1043
9148,1038
9148,1032
9148,1030
9148,1031
9148,1013
9148,1016
9148,1000
9148,1004
9148,995
9148,997
9148,989
9148,994
9148,985
9148,988
9148,981
9148,983
9148,974
9148,976
9148,1613
9148,1602
9148,1626
9148,1614
9148,1595
9148,1586
9148,1601
9148,1599
9148,1581
9148,1575
9148,1584
9148,1583
9148,1542
9148,1535
9148,1549
9148,1548
9148,1455
9148,1499
9148,1500
9148,1534
9148,1272
9148,1341
9148,1350
9148,1425
9148,1144
9148,1145
9148,1153
9148,1253
9148,1133
9148,1135
9148,1136
9148,1139
9148,403
9148,402
9148,399
9148,380
9148,446
9148,431
9148,410
9148,408
9148,340
9148,333
9148,313
9148,285
9148,363
9148,350
9148,347
9148,341
9148,139
9148,149
9148,45
9148,119
9148,251
9148,278
9148,171
9148,182
9148,19
9148,907
9148,899
9148,923
9148,921
9148,971
9148,931
9148,973
9148,972
9148,853
9148,851
9148,855
9148,854
9148,859
9148,856
9148,889
9148,885
9148,714
9148,743
9148,750
9148,753
9148,759
9148,834
9148,839
9148,845
9148,504
9148,540
9148,541
9148,542
9148,545
9148,547
9148,556
9148,562
9148,3227
9148,2638
9148,2640
9148,2487
9148,2477
9148,2462
9148,2461
9148,2456
9148,2441
9148,2421
9148,2417
9148,2630
9148,2626
9148,2600
9148,2599
9148,2567
9148,2519
9148,2515
9148,2512
9148,1703
9148,1717
9148,1693
9148,1694
9148,1721
9148,1735
9148,1718
9148,1720
9148,1763
9148,1795
9148,1747
9148,1762
9148,1830
9148,1878
9148,2199
9148,2210
9148,2178
9148,2192
9148,2149
9148,2166
9148,2122
9148,2133
9148,2063
9148,2112
9148,1980
9148,1992
9148,1935
9148,1938
9148,1900
