person_id,movie_id
15766,0
18107,0
14838,0
12086,0
14163,5
18474,5
18473,5
18472,5
11479,7
11989,7
11332,7
11568,7
17108,8
18693,8
16863,8
18692,8
13908,11
16921,11
13054,11
15627,11
13024,12
13100,12
15062,12
12672,12
17362,15
13694,15
18615,15
18614,15
17994,17
18221,17
17210,17
17960,17
15708,18
14418,18
16323,18
17949,18
15546,19
18409,19
17262,19
18408,19
13097,20
15084,20
13723,20
16107,20
14291,21
11413,21
17296,21
17640,21
14487,22
14132,22
17995,22
16524,22
14351,24
12572,24
14418,24
15511,24
15449,25
12812,25
14769,25
14886,25
13100,26
14172,26
15202,26
13940,26
17905,27
17923,27
18083,27
18625,27
18394,28
16035,28
15130,28
18393,28
15244,29
18212,29
17906,29
18213,29
16725,30
12481,30
16894,30
18554,30
14801,31
12428,31
16996,31
13675,31
13856,32
15717,32
16866,32
17827,32
13300,34
18249,34
15516,34
17170,34
13992,35
13786,35
14385,35
18605,35
14810,36
14942,36
14951,36
17639,36
16901,38
16239,38
16406,38
18581,38
14853,39
18576,39
17356,39
18405,39
18590,40
15551,40
18591,40
18592,40
14334,41
18332,41
18331,41
16889,41
28248,42
32552,42
18714,42
18715,42
14526,43
18352,43
15544,43
17348,43
15706,44
18671,44
18672,44
18670,44
17007,45
18253,45
17213,45
18254,45
16909,46
17182,46
18312,46
14783,46
13258,47
16323,47
14689,47
14421,47
18217,48
18214,48
18215,48
18216,48
15022,50
14485,50
18457,50
18458,50
17432,52
18337,52
18336,52
18335,52
14268,53
18344,53
11930,53
17082,53
16525,54
16698,54
16107,54
15859,54
17573,55
18355,55
18354,55
15557,55
14305,57
17595,57
15859,57
17679,57
14924,58
18557,58
18556,58
17638,58
18658,59
13945,59
18659,59
16350,59
11440,60
16403,60
14150,60
14935,60
16063,61
17142,61
18622,61
18623,61
13919,62
18132,62
15088,62
18602,62
17401,64
18704,64
18706,64
18703,64
15460,65
16030,65
18644,65
17822,65
12708,66
17806,66
18537,66
18539,66
17896,67
17988,67
17987,67
17986,67
18277,68
18278,68
14485,68
14113,68
14510,69
17030,69
16463,69
18404,69
15717,70
13185,70
15859,70
11440,70
11803,71
18077,71
18076,71
18075,71
18340,72
18341,72
17219,72
16423,72
18454,73
18455,73
14994,73
16151,73
13683,74
14351,74
18829,74
18830,74
18558,75
15870,75
15893,75
13093,75
18814,76
18813,76
18812,76
18811,76
17532,77
16964,77
19162,77
13144,77
13319,78
18755,78
18756,78
18757,78
17044,79
16412,79
18974,79
18041,79
18403,80
18402,80
17918,80
16827,80
16489,81
17563,81
18354,81
18399,81
16218,82
18361,82
12611,82
16477,82
16648,83
16907,83
15274,83
18379,83
17350,84
18479,84
18477,84
18478,84
11702,85
18551,85
18552,85
18553,85
15534,86
15383,86
15173,86
18745,86
14623,87
18621,87
17433,87
18620,87
32061,88
18574,88
18573,88
18572,88
12056,89
14934,89
17488,89
16795,89
16031,90
14571,90
18596,90
18948,90
18269,91
18266,91
18267,91
18268,91
15992,92
18308,92
15085,92
18652,92
18245,93
18243,93
18244,93
18242,93
17221,94
17428,94
18578,94
18579,94
18497,95
18498,95
18137,95
18499,95
18236,96
17219,96
18235,96
12309,96
12894,97
19180,97
13738,97
17656,97
16756,98
12426,98
15119,98
18108,98
17789,99
18100,99
13861,99
18661,99
13739,100
18571,100
17082,100
16631,100
16172,101
18992,101
15334,101
14950,101
14447,102
18689,102
16863,102
16984,102
15431,103
13945,103
15386,103
18739,103
13675,104
15534,104
17159,104
17852,104
14254,105
13840,105
18448,105
18447,105
17594,106
18426,106
18425,106
17592,106
18122,107
18121,107
18120,107
18119,107
20671,108
18433,108
16283,108
18434,108
13024,109
15087,109
16524,109
15267,109
18767,110
18766,110
18768,110
18769,110
10841,111
15666,111
15955,111
19005,111
16087,112
15177,112
14493,112
16907,112
17788,113
16907,113
18889,113
18888,113
12134,114
13912,114
18294,114
18295,114
13430,115
19009,115
19010,115
19011,115
18318,116
18320,116
18319,116
18321,116
18290,117
18292,117
18291,117
18293,117
13571,118
13573,118
13409,118
13572,118
18441,119
18175,119
18440,119
13830,119
13912,120
18746,120
17057,120
15983,120
15502,121
18530,121
18529,121
13881,121
16406,122
14660,122
18240,122
18716,123
18717,123
16118,123
15567,123
18850,124
15168,124
18922,124
18125,124
15992,125
16806,125
12380,125
14703,125
17404,126
17403,126
17402,126
17401,126
14447,127
17111,127
17110,127
14796,127
28527,128
15193,128
17833,128
17832,128
18685,129
18687,129
18686,129
11051,129
12513,130
18851,130
15910,130
18850,130
18048,131
18047,131
18049,131
17470,131
16355,132
15044,132
18596,132
15641,132
18234,133
18233,133
18232,133
18231,133
15460,134
18396,134
18397,134
18395,134
15049,135
16999,135
15177,135
12382,135
15386,136
18815,136
13857,136
18471,136
18522,137
18524,137
18523,137
18525,137
12417,138
14526,138
13475,138
15833,138
17545,139
14912,139
14163,139
12428,139
18296,140
18297,140
18298,140
18299,140
18264,141
18263,141
16680,141
17562,141
18227,142
15384,142
18226,142
18225,142
17721,143
18271,143
15954,143
18272,143
17017,144
18252,144
18251,144
15879,144
14274,145
17067,145
17791,145
17792,145
15340,146
14487,146
14838,146
17254,146
15983,147
13526,147
13796,147
16779,147
16173,148
13739,148
16774,148
18219,148
16350,149
15244,149
13745,149
15062,149
12130,150
12421,150
11437,150
12422,150
15985,151
15910,151
14849,151
18276,151
15084,152
18283,152
16531,152
18282,152
14531,153
13820,153
17744,153
17822,153
17655,154
14171,154
18315,154
18314,154
12611,155
17852,155
15777,155
18333,155
13430,156
18123,156
18343,156
14787,156
16395,157
12428,157
16684,157
15544,157
17858,158
17857,158
